id,name,character
10980,Daniel Radcliffe,Harry Potter
10990,Emma Watson,Hermione Granger
10989,Rupert Grint,Ron Weasley
13014,Toby Jones,Dobby (voice)
1283,Helena Bonham Carter,Bellatrix Lestrange
4566,Alan Rickman,Severus Snape
5469,Ralph Fiennes,Lord Voldemort
2440,Bill Nighy,Rufus Scrimgeour
16358,Simon McBurney,Kreacher (voice)
7026,Rhys Ifans,Xenophilius Lovegood
140367,Evanna Lynch,Luna Lovegood
3549,Andy Linden,Mundungus Fletcher
40638,Guy Henry,Pius Thicknesse
11355,Jason Isaacs,Lucius Malfoy
2039,Brendan Gleeson,"Alastor ""Mad-Eye"" Moody"
5049,John Hurt,Ollivander
1923,Robbie Coltrane,Rubeus Hagrid
11207,David Thewlis,Remus Lupin
10983,Richard Griffiths,Vernon Dursley
477,Julie Walters,Molly Weasley
5658,Michael Gambon,Albus Dumbledore
11184,Warwick Davis,Griphook
11356,Imelda Staunton,Dolores Umbridge
10993,Tom Felton,Draco Malfoy
9191,Timothy Spall,Peter Pettigrew
10981,Fiona Shaw,Petunia Dursley
60348,Dave Legeno,Fenrir Greyback
15737,Helen McCrory,Narcissa Malfoy
975,Nick Moran,Scabior
3064,Peter Mullan,Corban Yaxley
2482,David O'Hara,Albert Runcorn
11291,Clémence Poésy,Fleur Delacour
3300,Natalia Tena,Nymphadora Tonks
20999,Mark Williams,Arthur Weasley
10991,Bonnie Wright,Ginny Weasley
10982,Harry Melling,Dudley Dursley
96307,Ian Kelly,Mr. Granger
20057,Michelle Fairley,Mrs. Granger
192870,Carolyn Pickles,Charity Burbage
1224773,Graham Duff,Death Eater
234921,Arben Bajraktaraj,Antonin Dolohov
234919,Rod Hunt,Thorfinn Rowle
234918,Suzie Toase,Alecto Carrow
202032,Ralph Ineson,Amycus Carrow
135911,Adrian Annis,Death Eater
209884,Emil Hostina,Death Eater
1272644,Paul Khanna,Death Eater
79502,Richard Strange,Death Eater
1272645,Anthony John Crocker,Death Eater
568393,Peter G. Reed,Death Eater
142747,Granville Saxton,Death Eater
568394,Judith Sharp,Death Eater
69476,Ashley McGuire,Death Eater
568385,Penelope McGhie,Death Eater
568395,Bob Yves Van Hellenberg Hubar,Death Eater
568396,Tony Kirwood,Death Eater
27822,David Ryall,Elphias Doge
96851,James Phelps,Fred Weasley
140368,Oliver Phelps,George Weasley
2247,George Harris,Kingsley Shacklebolt
93210,Domhnall Gleeson,Bill Weasley
47468,Frances de la Tour,Olympe Maxime
17479,Matyelok Gibbs,Auntie Muriel
236430,Eva Alexander,Waitress
96841,Matthew Lewis,Neville Longbottom
1140635,Jon Campling,Death Eater
234922,Devon Murray,Seamus Finnigan
568374,William Melling,Nigel Wolpert
1272646,Simon Grover,Death Eater
234934,Freddie Stroma,Cormac McLaggen
234930,Isabella Laughland,Leanne
234924,Jessie Cave,Lavender Brown
234929,Anna Shaffer,Romilda Vane
11212,Josh Herdman,Gregory Goyle
568379,Amber Evans,Twin Girl 1
568380,Ruby Evans,Twin Girl 2
234933,Katie Leung,Cho Chang
174398,Georgina Leonidas,Katie Bell
234927,Louis Cordice,Blaise Zabini
234928,Scarlett Hefner,Pansy Parkinson
234926,Afshan Azad,Padma Patil
143892,Steffan Rhodri,Reginald Cattermole
32990,Sophie Thompson,Mafalda Hopkirk
1503075,Daniel Tuite,Skinny Ministry Wizard
209458,Daisy Haggard,Ministry Lift (voice)
87096,George Potts,Balding Wizard
141355,Rose Keegan,Red Haired Witch
63362,Ned Dennehy,Scared Man
178630,Kate Fleetwood,Mary Cattermole
1215154,Daniel Hill,Bushy Haired Muttering Wizard
1118,Rade Šerbedžija,Mykew Gregorovitch
83356,Jamie Campbell Bower,Young Grindelwald
94742,Hazel Douglas,Bathilda Bagshot
1643,Adrian Rawlins,James Potter
10988,Geraldine Somerville,Lily Potter
8436,Miranda Richardson,Rita Skeeter
742,Michael Byrne,Gellert Grindelwald
65445,Samuel Roukin,Snatcher
116606,Toby Regbo,Young Albus Dumbledore (uncredited)
1628687,Regé-Jean Page,Wedding Guest
1602845,John Snowden,Wizard (uncredited)
1602900,Nathan Robinson,Mudblood
1573784,Augustina Amoa,Parent
